Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,34,F,3,College,Divorced,Less than $40K,Blue,3,4274.0,2517,2257,54
Existing Customer,55,M,0,Doctorate,Married,$60K - $80K,Blue,4,4980.0,906,2273,66
Existing Customer,61,F,0,Post-Graduate,Married,Less than $40K,Blue,3,3156.0,2155,1376,44
Existing Customer,44,F,2,Graduate,Married,Less than $40K,Blue,5,6861.0,2101,3974,63
Existing Customer,54,M,1,Graduate,Married,$80K - $120K,Blue,3,15554.0,2497,2836,61
Existing Customer,39,M,2,High School,Married,$80K - $120K,Blue,3,26570.0,1915,2118,33
Existing Customer,51,M,1,Unknown,Married,$60K - $80K,Blue,3,22224.0,979,3346,69
Existing Customer,47,M,2,Unknown,Single,$80K - $120K,Blue,6,10606.0,1713,2694,61
Existing Customer,37,F,1,High School,Married,$40K - $60K,Blue,4,5865.0,2517,2623,47
Existing Customer,47,F,3,Graduate,Unknown,$40K - $60K,Blue,5,5369.0,1854,1898,50
Existing Customer,56,M,3,Uneducated,Married,$120K +,Blue,5,5188.0,753,1540,30
Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,4,17742.0,1463,3369,55
Existing Customer,62,M,0,Graduate,Married,$40K - $60K,Blue,5,2591.0,0,2123,56
Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,6,2800.0,1834,1571,36
Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,3,6543.0,2260,1519,31
Existing Customer,54,F,1,Doctorate,Single,Unknown,Blue,6,26053.0,829,2768,70
Existing Customer,33,F,3,College,Single,$40K - $60K,Blue,6,6316.0,1344,2401,71
Existing Customer,54,F,1,Graduate,Married,Less than $40K,Blue,3,4658.0,588,1351,30
Existing Customer,30,M,0,Graduate,Divorced,$60K - $80K,Blue,3,6476.0,0,2723,66
Existing Customer,36,F,2,High School,Single,Less than $40K,Blue,6,8087.0,1263,2429,69
Existing Customer,60,M,2,Graduate,Married,$60K - $80K,Blue,3,9033.0,845,1661,35
Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,6,3206.0,0,3253,72
Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,4,28751.0,2158,1502,34
Existing Customer,55,M,1,High School,Married,$80K - $120K,Blue,3,2938.0,1995,1352,30
Existing Customer,31,M,0,Uneducated,Single,Less than $40K,Blue,5,5715.0,1741,2324,67
Existing Customer,55,F,3,Uneducated,Divorced,Less than $40K,Blue,3,2111.0,1209,2803,61
Existing Customer,36,M,2,Post-Graduate,Single,$40K - $60K,Blue,3,11862.0,2282,2576,74
Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,3,2791.0,2160,2214,56
Existing Customer,33,F,1,Graduate,Single,Less than $40K,Blue,3,6551.0,1440,2429,77
Existing Customer,30,M,2,Post-Graduate,Single,$40K - $60K,Blue,5,4533.0,1977,2679,69
Existing Customer,54,F,2,Graduate,Married,$40K - $60K,Blue,5,1854.0,1528,1307,39
Existing Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,6,6704.0,1354,1331,30
Existing Customer,59,M,0,Graduate,Single,$80K - $120K,Silver,5,34516.0,1494,3259,65
Existing Customer,41,M,2,College,Single,$120K +,Blue,6,5489.0,1513,4085,65
Existing Customer,45,M,3,Uneducated,Married,$40K - $60K,Blue,3,10619.0,607,4074,65
Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,5,2481.0,1287,1825,51
Existing Customer,57,M,2,Uneducated,Married,$60K - $80K,Blue,4,5100.0,1970,1032,26
Existing Customer,63,M,0,Doctorate,Single,$40K - $60K,Blue,5,5905.0,726,3982,65
Existing Customer,35,F,3,Unknown,Single,Unknown,Blue,3,9293.0,0,2314,59
Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,5,5240.0,1451,2172,38
Existing Customer,53,M,3,High School,Married,$120K +,Blue,6,4182.0,741,1297,24
Existing Customer,33,F,4,College,Divorced,Less than $40K,Blue,6,9857.0,0,3448,103
Existing Customer,38,M,2,Uneducated,Married,$80K - $120K,Blue,3,20117.0,1226,2906,58
Existing Customer,31,M,0,High School,Divorced,Less than $40K,Blue,3,6012.0,0,2801,72
Existing Customer,37,M,2,Graduate,Married,$60K - $80K,Blue,4,6369.0,0,2675,47
Existing Customer,36,M,1,Uneducated,Single,$80K - $120K,Blue,4,13005.0,2152,3023,53
Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,3,1575.0,592,644,15
Existing Customer,58,F,0,Post-Graduate,Married,Less than $40K,Blue,5,6679.0,1207,1649,29
Existing Customer,39,F,1,Graduate,Married,Less than $40K,Blue,6,6458.0,1802,2315,49
Existing Customer,61,M,0,Unknown,Single,$60K - $80K,Blue,3,20803.0,1446,2073,43
Existing Customer,34,M,4,Unknown,Married,$40K - $60K,Blue,3,5540.0,1240,1524,31
Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,4,2801.0,2403,1526,44
Existing Customer,50,M,2,Uneducated,Single,Less than $40K,Blue,4,2419.0,2380,4099,73
Existing Customer,33,M,3,High School,Single,$40K - $60K,Blue,6,5156.0,1427,2057,54
Existing Customer,48,F,1,High School,Married,Unknown,Blue,6,14228.0,1953,1970,51
Existing Customer,63,M,0,High School,Married,$80K - $120K,Blue,3,10257.0,1021,1508,30
Attrited Customer,54,M,3,High School,Married,$40K - $60K,Blue,2,3032.0,0,1037,14
Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,Blue,2,1438.3,312,1786,26
Existing Customer,51,M,3,Doctorate,Married,$80K - $120K,Blue,5,32096.0,0,2619,69
Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,5,3014.0,794,1488,30
Existing Customer,47,M,4,Unknown,Single,$40K - $60K,Blue,3,5762.0,1890,3814,88
Existing Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,5,2555.0,1701,3127,45
Existing Customer,34,M,5,Post-Graduate,Single,$80K - $120K,Silver,3,34516.0,1731,2421,63
Existing Customer,64,M,0,High School,Married,Less than $40K,Blue,4,2140.0,1361,1280,34
Existing Customer,62,F,1,Uneducated,Married,$40K - $60K,Blue,3,4760.0,0,1459,20
Existing Customer,38,M,1,Graduate,Single,$80K - $120K,Blue,6,26372.0,1365,2291,56
Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,5,8203.0,654,2910,63
Existing Customer,35,F,2,Doctorate,Married,$40K - $60K,Blue,5,2655.0,1527,1921,26
Existing Customer,35,M,2,Graduate,Single,$120K +,Blue,6,13655.0,1048,2383,59
Existing Customer,54,M,1,College,Married,$80K - $120K,Blue,6,12169.0,1935,1599,38
Existing Customer,35,F,3,Unknown,Single,Less than $40K,Blue,6,2956.0,1823,2144,58
Existing Customer,35,M,0,Doctorate,Single,$60K - $80K,Blue,6,2598.0,1645,2483,59
Existing Customer,36,F,3,Graduate,Single,Unknown,Blue,5,10566.0,726,2156,64
Existing Customer,33,F,3,Graduate,Single,$40K - $60K,Blue,6,8232.0,2259,2849,67
Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Silver,5,26365.0,680,3411,68
Existing Customer,37,F,1,Uneducated,Married,Less than $40K,Blue,5,4671.0,1933,2468,58
Existing Customer,35,M,3,Graduate,Married,$120K +,Blue,4,14869.0,0,2753,48
Existing Customer,59,M,1,Graduate,Married,$40K - $60K,Blue,6,2300.0,1965,1693,27
Existing Customer,47,M,1,Unknown,Unknown,$80K - $120K,Blue,6,2797.0,1802,3525,63
Existing Customer,48,F,3,High School,Single,$40K - $60K,Blue,5,2657.0,2115,3580,77
Existing Customer,58,M,2,Uneducated,Married,$80K - $120K,Blue,6,9149.0,1806,1220,36
Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue,5,2629.0,1476,1725,41
Existing Customer,37,M,2,Graduate,Divorced,$40K - $60K,Blue,6,3176.0,0,2298,67
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,6,21875.0,2517,1327,31
Existing Customer,60,M,2,High School,Married,Unknown,Blue,5,3007.0,1664,1475,31
Existing Customer,50,M,1,College,Married,$60K - $80K,Blue,4,17404.0,1745,4491,78
Existing Customer,56,M,2,High School,Married,$60K - $80K,Blue,5,2863.0,2517,1458,39
Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,5,34516.0,2429,3205,57
Existing Customer,40,M,4,Graduate,Single,$60K - $80K,Blue,4,13919.0,1266,3699,67
Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,4,18672.0,2517,1126,35
Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,6,4204.0,499,4740,67
Existing Customer,61,F,1,Uneducated,Married,Less than $40K,Blue,3,6859.0,2489,1617,26
Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,6,16050.0,1480,3215,56
Existing Customer,46,M,5,High School,Married,$120K +,Blue,5,34516.0,1024,2436,71
Existing Customer,28,M,0,Uneducated,Divorced,Unknown,Blue,3,16766.0,1535,3093,77
Existing Customer,49,M,5,Unknown,Single,$80K - $120K,Blue,3,20895.0,1808,3210,65
Existing Customer,44,F,4,High School,Single,$40K - $60K,Blue,6,7881.0,2517,3068,77
Existing Customer,57,M,5,High School,Married,$80K - $120K,Blue,4,13427.0,0,1337,27
Existing Customer,37,M,2,Uneducated,Divorced,$80K - $120K,Blue,3,2281.0,1677,2735,58
Existing Customer,57,M,2,Uneducated,Married,$80K - $120K,Blue,6,10974.0,0,1327,26
Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,1,8925.0,168,741,10
Existing Customer,46,M,2,High School,Married,$60K - $80K,Blue,4,5265.0,0,3281,68
Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,6,17156.0,2517,1142,33
Existing Customer,53,M,1,Unknown,Married,$80K - $120K,Blue,4,13457.0,1248,1548,41
Existing Customer,52,M,0,Unknown,Married,$60K - $80K,Blue,3,2742.0,2184,3829,72
Existing Customer,34,M,1,Unknown,Married,$60K - $80K,Blue,3,3890.0,2286,1889,51
Existing Customer,55,M,3,Graduate,Single,$80K - $120K,Blue,6,17198.0,0,4042,62
Existing Customer,53,M,4,High School,Married,$120K +,Blue,6,3401.0,1713,1924,54
Existing Customer,37,M,1,Unknown,Married,$60K - $80K,Blue,6,18951.0,1243,2874,58
Existing Customer,58,F,3,Unknown,Single,$40K - $60K,Blue,4,1454.0,888,3060,56
Existing Customer,33,M,3,High School,Married,$120K +,Blue,6,27499.0,1188,2202,46
Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,3,32964.0,2231,3094,45
Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,5,7411.0,633,2761,77
Existing Customer,32,M,0,Uneducated,Single,$40K - $60K,Blue,4,7200.0,0,3006,83
Existing Customer,26,F,1,Uneducated,Single,Unknown,Blue,6,12007.0,956,2678,50
Existing Customer,60,F,0,Graduate,Married,Less than $40K,Blue,4,3147.0,1602,1558,23
Existing Customer,37,M,1,Graduate,Single,$80K - $120K,Blue,6,5110.0,1942,3028,76
Existing Customer,43,F,5,Graduate,Married,Less than $40K,Blue,3,5438.0,2214,5029,75
Existing Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,6,17450.0,2193,1426,38
Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,3,18352.0,1509,1454,29
Existing Customer,34,M,2,Uneducated,Single,$120K +,Blue,3,5030.0,2326,3345,69
Existing Customer,47,M,1,Unknown,Divorced,$80K - $120K,Silver,3,34516.0,802,1823,27
Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,4,1585.0,1535,2299,49
Existing Customer,54,M,1,High School,Married,$120K +,Blue,5,3251.0,1919,1406,31
Existing Customer,35,F,3,Uneducated,Single,Less than $40K,Blue,3,2858.0,1251,2844,73
Existing Customer,52,M,1,Unknown,Married,$80K - $120K,Silver,6,34516.0,1847,3284,65
Existing Customer,41,M,3,Graduate,Single,$60K - $80K,Blue,4,16443.0,1363,4252,64
Existing Customer,36,F,0,Uneducated,Divorced,Less than $40K,Blue,3,3687.0,1655,2448,63
Existing Customer,53,F,1,Graduate,Married,Less than $40K,Blue,5,4840.0,2517,1637,22
Existing Customer,42,M,3,Unknown,Single,$120K +,Blue,6,15108.0,0,3738,68
Existing Customer,54,M,1,College,Married,$60K - $80K,Blue,6,1909.0,1753,1457,24
Existing Customer,53,M,3,Post-Graduate,Single,$80K - $120K,Blue,5,19063.0,1236,3393,58
Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,4,15982.0,1691,1687,40
Existing Customer,42,M,3,Graduate,Single,$60K - $80K,Blue,6,1438.3,0,1794,45
Existing Customer,27,F,2,College,Divorced,Less than $40K,Blue,4,2549.0,2130,2605,61
Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,6,5967.0,2350,1426,29
Existing Customer,59,M,1,Uneducated,Married,$40K - $60K,Blue,5,2182.0,1558,1660,34
Existing Customer,63,F,2,Graduate,Married,Less than $40K,Blue,5,2689.0,2101,1188,35
Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,6,30622.0,0,3600,66
Existing Customer,56,F,0,High School,Married,Unknown,Blue,4,4203.0,1965,1425,32
Existing Customer,42,F,3,Unknown,Single,Less than $40K,Blue,6,6453.0,0,4822,74
Existing Customer,29,F,1,High School,Single,Less than $40K,Blue,3,3318.0,927,3011,83
Existing Customer,44,M,2,Unknown,Unknown,$60K - $80K,Blue,5,22075.0,1506,2337,40
Existing Customer,33,M,1,College,Married,$40K - $60K,Blue,3,6746.0,1750,2962,54
Existing Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,5,4408.0,1463,2001,49
Existing Customer,33,F,3,Graduate,Single,Less than $40K,Blue,5,4838.0,1338,2641,67
Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Silver,5,34516.0,0,3568,57
Existing Customer,27,M,0,Unknown,Married,$40K - $60K,Blue,4,3823.0,2130,2026,49
Existing Customer,42,M,3,College,Unknown,$120K +,Blue,3,21670.0,2183,4121,81
Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,6,7928.0,1228,1537,37
Existing Customer,50,M,3,Graduate,Single,$120K +,Blue,3,33996.0,949,3569,77
Existing Customer,48,F,5,College,Divorced,$40K - $60K,Blue,3,4365.0,0,3542,57
Existing Customer,57,M,2,High School,Single,$60K - $80K,Blue,6,2248.0,0,4439,77
Existing Customer,34,F,2,Graduate,Single,Less than $40K,Blue,4,1901.0,1176,2450,52
Existing Customer,55,M,2,College,Single,$80K - $120K,Silver,3,34516.0,1433,1966,31
Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,6,31680.0,1812,1121,25
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,3,1872.0,1167,2238,45
Existing Customer,48,F,2,Uneducated,Unknown,Less than $40K,Blue,3,2055.0,0,3656,63
Existing Customer,45,M,2,College,Divorced,$40K - $60K,Blue,5,10991.0,1328,3692,60
Existing Customer,59,M,0,Uneducated,Married,Less than $40K,Blue,6,3939.0,2517,1489,34
Existing Customer,53,F,2,Post-Graduate,Married,$40K - $60K,Blue,5,2127.0,1995,1363,37
Existing Customer,47,M,4,Uneducated,Single,$80K - $120K,Blue,3,34010.0,1340,1739,39
Existing Customer,43,F,3,Unknown,Married,Unknown,Blue,4,6971.0,1506,3575,67
Existing Customer,33,F,1,Post-Graduate,Married,Less than $40K,Blue,6,1741.0,1328,2629,61
Existing Customer,49,F,2,Post-Graduate,Single,Unknown,Blue,3,24904.0,0,5176,71
Attrited Customer,54,F,1,Graduate,Single,Less than $40K,Blue,3,1438.3,0,1603,39
Existing Customer,65,M,0,High School,Married,Less than $40K,Blue,6,2621.0,1858,2148,47
Existing Customer,49,F,5,Graduate,Married,$40K - $60K,Blue,5,11115.0,1292,3956,74
Existing Customer,47,M,5,Unknown,Single,$80K - $120K,Blue,6,13241.0,0,3157,76
Existing Customer,51,M,4,High School,Married,$80K - $120K,Blue,6,14438.0,2517,2090,47
Existing Customer,36,M,3,High School,Single,$80K - $120K,Blue,6,5228.0,1443,2683,62
Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,3,5550.0,1518,2540,62
Existing Customer,46,M,1,Graduate,Unknown,$40K - $60K,Blue,4,1438.3,890,2928,48
Existing Customer,62,F,0,Unknown,Married,Less than $40K,Blue,3,2064.0,1282,1475,27
Existing Customer,30,F,1,College,Single,Less than $40K,Blue,4,3450.0,2517,2545,64
Existing Customer,46,M,4,Graduate,Married,$120K +,Silver,4,34516.0,1380,2163,56
Existing Customer,41,M,4,Uneducated,Divorced,$80K - $120K,Blue,6,30030.0,2028,1828,38
Existing Customer,50,M,1,Uneducated,Married,$40K - $60K,Blue,5,2151.0,1163,2513,62
Existing Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,4,7181.0,2517,1636,39
Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,3,27745.0,1300,1525,21
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,4,4852.0,2016,3561,73
Existing Customer,56,M,1,Graduate,Married,$60K - $80K,Blue,6,6735.0,2289,1249,28
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,4,6128.0,1895,1700,42
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,4,23124.0,1746,1959,50
Existing Customer,34,M,2,Unknown,Married,$40K - $60K,Blue,3,3436.0,1650,1972,37
Existing Customer,35,M,0,Unknown,Married,$120K +,Blue,5,3176.0,1510,2074,48
Existing Customer,44,M,4,College,Unknown,$120K +,Blue,5,8874.0,1590,1849,56
Existing Customer,38,F,3,Graduate,Married,Less than $40K,Blue,5,3402.0,1813,1767,28
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,6,2689.0,2077,1356,33
Existing Customer,54,M,3,Uneducated,Married,Less than $40K,Blue,3,1556.0,1278,1615,35
Existing Customer,58,F,2,High School,Single,$40K - $60K,Blue,3,7372.0,1210,1707,56
Existing Customer,26,M,0,College,Unknown,Less than $40K,Blue,6,5713.0,789,3323,61
Existing Customer,27,F,1,Post-Graduate,Single,Less than $40K,Blue,4,2965.0,1635,2553,59
Existing Customer,33,M,1,Unknown,Married,$80K - $120K,Blue,3,9819.0,1200,2198,40
Existing Customer,32,M,0,Uneducated,Single,$60K - $80K,Blue,4,8186.0,0,2411,67
Existing Customer,58,F,1,College,Married,Less than $40K,Blue,3,3846.0,1285,1815,47
Existing Customer,45,F,4,Uneducated,Unknown,Less than $40K,Silver,5,13131.0,1965,1795,37
Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,4,2944.0,753,3457,61
Existing Customer,38,M,2,Post-Graduate,Single,$60K - $80K,Silver,3,34516.0,1954,1872,52
Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,6,5660.0,2006,1569,39
Existing Customer,40,F,1,Graduate,Unknown,Less than $40K,Blue,5,7554.0,1848,4150,64
Existing Customer,35,F,4,Uneducated,Married,Less than $40K,Blue,5,2494.0,1316,2946,57
Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,4,25215.0,1445,2588,48
Existing Customer,40,F,4,College,Married,$40K - $60K,Blue,5,2606.0,1818,1999,50
Existing Customer,52,M,0,Graduate,Single,$80K - $120K,Blue,4,8133.0,1942,3310,76
Existing Customer,57,F,1,High School,Married,Less than $40K,Blue,6,3101.0,1257,1681,32
Existing Customer,48,M,2,Graduate,Divorced,$80K - $120K,Blue,6,24446.0,1854,3897,75
Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,5,2361.0,1342,4316,78
Existing Customer,40,M,4,High School,Single,$40K - $60K,Blue,6,2441.0,1656,3903,62
Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,5,8532.0,2165,3242,63
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,5,16954.0,1588,3411,60
Existing Customer,36,M,2,Graduate,Single,$80K - $120K,Blue,4,2900.0,2029,2631,72
Existing Customer,37,F,1,Graduate,Single,Less than $40K,Blue,6,6827.0,0,2621,49
Existing Customer,44,F,3,College,Divorced,$40K - $60K,Blue,5,4513.0,1950,3164,62
Existing Customer,52,M,2,College,Married,$120K +,Blue,3,27347.0,719,4040,77
Existing Customer,42,F,3,High School,Married,Less than $40K,Blue,4,1676.0,1372,4381,77
Existing Customer,62,F,1,Graduate,Married,Less than $40K,Blue,6,2802.0,1977,1757,33
Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,3,23870.0,0,1885,39
Existing Customer,30,F,0,Graduate,Single,Less than $40K,Blue,3,4868.0,1090,2907,69
Existing Customer,50,M,3,Uneducated,Single,$60K - $80K,Blue,5,20437.0,1020,4166,66
Existing Customer,32,M,2,High School,Divorced,$60K - $80K,Blue,6,2239.0,1338,2466,60
Existing Customer,32,F,1,Graduate,Single,Less than $40K,Blue,6,2428.0,1027,3007,84
Existing Customer,49,M,3,Post-Graduate,Single,$60K - $80K,Blue,3,15027.0,0,3533,59
Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,3,32056.0,1887,2730,68
Existing Customer,42,F,3,College,Single,Unknown,Silver,3,34516.0,919,3415,79
Existing Customer,36,M,2,Unknown,Single,$80K - $120K,Blue,3,5346.0,1539,2283,51
Attrited Customer,52,F,4,Unknown,Married,Less than $40K,Blue,1,2143.0,0,1353,36
Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,5,34516.0,2317,3927,68
Existing Customer,29,M,1,Unknown,Single,$60K - $80K,Blue,3,23507.0,1990,2650,65
Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,5,1864.0,1081,2607,44
Existing Customer,36,M,2,College,Single,$60K - $80K,Blue,5,23032.0,840,2787,73
Existing Customer,36,F,4,High School,Married,Less than $40K,Blue,4,4277.0,1578,1855,49
Existing Customer,56,F,2,High School,Married,$40K - $60K,Blue,5,2771.0,1446,1706,27
Existing Customer,28,M,1,High School,Divorced,Less than $40K,Blue,5,2265.0,1935,2306,61
Existing Customer,31,F,2,Uneducated,Divorced,Less than $40K,Blue,6,2853.0,1961,2697,68
Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,5,3075.0,2517,3534,53
Existing Customer,51,F,3,High School,Married,Unknown,Blue,5,15340.0,2331,2965,51
Existing Customer,55,M,3,Graduate,Single,$40K - $60K,Blue,4,3065.0,0,3524,69
Existing Customer,34,F,2,Doctorate,Single,Less than $40K,Blue,3,1438.3,0,3044,91
Existing Customer,61,F,0,Graduate,Single,$40K - $60K,Blue,4,7118.0,813,3964,66
Existing Customer,37,M,2,Uneducated,Single,$60K - $80K,Blue,4,11419.0,2517,3000,70
Existing Customer,46,M,3,Graduate,Married,$40K - $60K,Blue,6,2403.0,0,3393,64
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,4,2821.0,951,1452,38
Existing Customer,54,M,1,Graduate,Married,$40K - $60K,Blue,4,2706.0,2517,1682,39
Existing Customer,50,F,3,Unknown,Single,Less than $40K,Blue,6,2999.0,1958,2073,48
Existing Customer,36,F,4,High School,Single,Less than $40K,Blue,5,2226.0,1607,2660,62
Existing Customer,37,M,5,Graduate,Married,$60K - $80K,Blue,5,3351.0,1847,1910,43
Existing Customer,47,M,4,College,Divorced,$40K - $60K,Blue,5,5570.0,1858,4129,72
Existing Customer,54,M,3,Unknown,Married,$80K - $120K,Blue,3,10448.0,1569,1604,39
Existing Customer,64,F,0,High School,Married,Less than $40K,Blue,6,2174.0,1397,1755,39
Existing Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,3,31501.0,0,3742,75
Existing Customer,35,M,2,Uneducated,Single,$60K - $80K,Blue,6,21695.0,1257,2266,74
Existing Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,3,34516.0,2435,1805,34
Existing Customer,42,M,5,Unknown,Married,$60K - $80K,Blue,6,13650.0,1253,1703,53
Existing Customer,49,M,0,Uneducated,Single,$80K - $120K,Blue,5,16156.0,2517,4160,81
Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,6,2413.0,2015,1398,24
Existing Customer,56,M,2,High School,Married,$80K - $120K,Blue,3,5920.0,1589,1408,28
Existing Customer,41,M,3,College,Single,$60K - $80K,Blue,6,5841.0,2463,3817,81
Existing Customer,37,M,3,High School,Single,$60K - $80K,Blue,3,8418.0,2051,2879,63
Existing Customer,30,M,0,High School,Married,Less than $40K,Blue,5,2490.0,1259,2441,53
Existing Customer,45,M,3,Post-Graduate,Married,$80K - $120K,Blue,3,20640.0,1603,1792,53
Existing Customer,54,M,1,High School,Married,$60K - $80K,Blue,5,9453.0,2188,1688,45
Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,4,7949.0,1514,3355,58
Existing Customer,36,F,4,College,Single,Less than $40K,Blue,3,2758.0,2168,3073,86
Existing Customer,48,M,2,Doctorate,Single,$120K +,Blue,5,20148.0,1084,3921,74
Existing Customer,59,F,0,Doctorate,Single,Less than $40K,Blue,3,1438.3,0,1904,47
Existing Customer,60,M,1,Uneducated,Single,$80K - $120K,Blue,6,26566.0,2517,3103,65
Existing Customer,44,M,5,Graduate,Single,$60K - $80K,Blue,3,13477.0,2057,3866,67
Existing Customer,65,M,0,College,Divorced,Less than $40K,Blue,5,9706.0,1968,3435,58
Existing Customer,46,F,3,Graduate,Single,$40K - $60K,Blue,5,7457.0,0,3162,64
Existing Customer,48,M,4,Graduate,Married,$80K - $120K,Silver,6,34516.0,807,3937,80
Existing Customer,53,M,3,High School,Married,$120K +,Blue,5,19081.0,2431,1536,31
Existing Customer,53,F,3,Uneducated,Married,Unknown,Blue,6,2447.0,1558,1716,38
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,4,28830.0,0,3533,57
Existing Customer,37,F,4,High School,Divorced,$40K - $60K,Blue,5,2563.0,1638,2064,46
Existing Customer,29,F,0,High School,Single,Less than $40K,Blue,6,5240.0,1608,2712,64
Existing Customer,49,F,2,Doctorate,Married,Less than $40K,Blue,4,3397.0,1962,3295,66
Existing Customer,47,M,3,Doctorate,Single,Less than $40K,Blue,4,1842.0,0,4165,67
Existing Customer,53,F,1,Unknown,Married,Less than $40K,Blue,4,2383.0,1938,1616,37
Existing Customer,33,M,2,Graduate,Divorced,$60K - $80K,Blue,5,20791.0,0,2883,93
Existing Customer,34,M,1,Graduate,Unknown,$60K - $80K,Blue,5,19900.0,1581,3948,96
Existing Customer,28,F,0,Graduate,Single,Unknown,Silver,3,32024.0,1232,2507,64
Existing Customer,36,F,3,Graduate,Single,$40K - $60K,Blue,3,3701.0,969,3222,86
Existing Customer,30,F,2,Graduate,Single,Less than $40K,Blue,3,4199.0,1903,3016,67
Existing Customer,34,M,3,High School,Single,$40K - $60K,Blue,4,4353.0,1655,2664,81
Attrited Customer,38,F,4,College,Married,$40K - $60K,Blue,4,4913.0,2517,899,28
Existing Customer,39,F,4,Post-Graduate,Married,Less than $40K,Blue,3,5454.0,1108,2674,67
Existing Customer,32,F,0,Graduate,Married,Unknown,Blue,3,2172.0,1381,2945,69
Existing Customer,36,M,2,Doctorate,Single,$40K - $60K,Blue,4,2845.0,2517,2396,51
Existing Customer,37,F,3,High School,Single,Unknown,Blue,3,18570.0,1524,3999,96
Existing Customer,45,M,4,Uneducated,Married,$60K - $80K,Silver,5,25907.0,745,2058,56
Existing Customer,38,F,3,Uneducated,Single,Less than $40K,Blue,5,2206.0,2018,1739,35
Existing Customer,31,M,0,Graduate,Single,$40K - $60K,Blue,3,12050.0,1732,2015,46
Existing Customer,65,M,0,High School,Unknown,Less than $40K,Blue,3,2107.0,1008,3913,67
Existing Customer,63,F,0,Graduate,Married,Less than $40K,Blue,6,2107.0,1351,1320,35
